FlightID,RouteCode,Origin,Destination,FlightDate,FlightDurationMins,AircraftType,SeatsAvailable,SeatsSold,Revenue,OperationalCost
100147,AMD-NAG,AMD,NAG,2025-12-02,80,ATR 72-600,72,44,66865.46,63257.08
100148,HYD-LKO,HYD,LKO,2026-02-14,118,Boeing 737-800,189,140,154331.83,160698.5
100149,HYD-PNQ,HYD,PNQ,2025-06-19,69,Airbus A320,180,154,139568.01,103375.8
100150,BOM-HKG,BOM,HKG,2025-01-10,348,Airbus A350-900,325,272,1108114.69,884643.45
100151,AMD-PAT,AMD,PAT,2025-08-25,133,Airbus A321neo,220,186,213847.53,166787.47
100152,BOM-HKG,BOM,HKG,2025-07-31,345,Boeing 777-300ER,396,364,1202154.14,1051184.2
100153,BOM-HKG,BOM,HKG,2024-08-07,328,Airbus A350-900,325,228,1050033.61,730398.3
100154,MAA-BKK,MAA,BKK,2025-09-24,181,Airbus A321neo,220,118,412212.65,280187.06
100155,MAA-DOH,MAA,DOH,2026-05-02,258,Airbus A320,180,154,476333.42,390671.01
100156,MAA-AMD,MAA,AMD,2026-03-31,124,Boeing 737-800,189,132,203196.71,176194.45
100157,DEL-SIN,DEL,SIN,2025-12-29,338,Boeing 777-300ER,396,396,1203929.75,896222.45
100158,AMD-NAG,AMD,NAG,2026-01-06,88,ATR 72-600,72,69,55145.91,62039.26
100159,MAA-AMD,MAA,AMD,2025-02-18,141,Boeing 737-800,189,115,185099.55,177669.27
100160,BLR-COK,BLR,COK,2024-10-11,62,Airbus A320,180,133,116651.16,95297.42
100161,BLR-SIN,BLR,SIN,2024-08-27,248,Boeing 787-8,242,191,577558.18,419322.39
100162,MAA-PNQ,MAA,PNQ,2026-01-31,98,Airbus A320,180,173,159917.25,136961.29
100163,PNQ-LKO,PNQ,LKO,2025-07-27,117,Airbus A320,180,180,186758.01,153473.87
100164,AMD-PAT,AMD,PAT,2025-10-16,115,Boeing 787-8,242,176,278357.05,195971.52
100165,BLR-PNQ,BLR,PNQ,2025-10-20,94,ATR 72-600,72,67,95328.86,67405.84
100166,BLR-SIN,BLR,SIN,2025-06-19,258,Airbus A320,180,138,524976.29,381465.4
100167,AMD-NAG,AMD,NAG,2025-10-11,87,Airbus A321neo,220,133,129467.88,135087.43
100168,PNQ-LKO,PNQ,LKO,2025-02-28,114,Airbus A321neo,220,167,160736.08,165657.45
100169,BOM-LKO,BOM,LKO,2024-07-23,122,Airbus A321neo,220,199,167017.93,184228.24
100170,DEL-BKK,DEL,BKK,2026-06-03,244,Airbus A321neo,220,121,518103.58,405403.06
100171,MAA-BKK,MAA,BKK,2025-04-20,197,Boeing 787-8,242,236,479388.33,348574.11
100172,AMD-PAT,AMD,PAT,2025-01-11,117,Boeing 787-8,242,242,267077.37,195413.09
100173,BLR-SIN,BLR,SIN,2024-11-18,263,Boeing 737-800,189,188,442333.92,368970.7
100174,BLR-JFK,BLR,JFK,2025-09-25,981,Airbus A350-900,325,251,2294780.27,1953262.8
100175,BOM-LKO,BOM,LKO,2025-05-31,127,Airbus A320,180,169,159312.71,158304.06
100176,PNQ-LKO,PNQ,LKO,2025-07-10,116,Airbus A320,180,148,173943.92,151532.01
100177,HYD-LHR,HYD,LHR,2025-11-06,580,Boeing 777-300ER,396,370,2267766.95,1793274.31
100178,AMD-NAG,AMD,NAG,2025-10-23,89,Airbus A321neo,220,107,108196.0,136979.4
100179,LKO-IXC,LKO,IXC,2026-05-22,83,Airbus A321neo,220,194,146390.93,127049.87
100180,MAA-BKK,MAA,BKK,2025-08-09,188,Boeing 787-8,242,196,374417.39,295194.38
100181,BOM-COK,BOM,COK,2026-05-20,112,Airbus A321neo,220,220,186675.88,155079.36
100182,MAA-PNQ,MAA,PNQ,2026-05-23,94,Boeing 737-800,189,161,123751.04,132195.32
100183,MAA-AMD,MAA,AMD,2026-03-17,132,Boeing 787-8,242,149,234038.73,189509.83
100184,MAA-AMD,MAA,AMD,2025-05-06,140,Boeing 787-8,242,242,281288.35,204455.59
100185,BOM-JAI,BOM,JAI,2025-11-17,86,Airbus A320,180,141,142048.26,127117.2
100186,AMD-PAT,AMD,PAT,2025-07-15,121,Airbus A321neo,220,178,268339.05,185491.77
100187,BOM-HKG,BOM,HKG,2024-12-06,335,Boeing 777-300ER,396,361,1510090.91,1028530.71
100188,DEL-BKK,DEL,BKK,2025-04-13,245,Boeing 787-8,242,223,519388.18,369797.84
100189,BOM-LKO,BOM,LKO,2025-07-07,128,Airbus A321neo,220,199,189565.2,160206.91
100190,BLR-SIN,BLR,SIN,2025-07-03,271,Airbus A321neo,220,145,431234.3,366401.44
100191,AMD-NAG,AMD,NAG,2025-10-09,93,Airbus A321neo,220,211,119000.28,122961.8
100192,PNQ-NAG,PNQ,NAG,2024-08-21,87,Boeing 737-800,189,138,131034.53,117828.67
100193,AMD-PAT,AMD,PAT,2024-09-09,126,Airbus A320,180,103,229372.79,168383.16
100194,BOM-COK,BOM,COK,2025-02-24,116,Boeing 737-800,189,168,164838.54,144492.66
100195,CCU-PAT,CCU,PAT,2024-11-26,53,Airbus A321neo,220,203,99025.48,115673.32
100196,BOM-COK,BOM,COK,2024-07-27,98,Boeing 737-800,189,136,189011.53,140338.87
100197,BOM-LKO,BOM,LKO,2024-07-17,119,Boeing 737-800,189,170,180046.03,149255.01
100198,MAA-AMD,MAA,AMD,2024-09-04,131,Boeing 737-800,189,147,216522.39,170289.37
100199,BOM-HKG,BOM,HKG,2025-11-28,327,Airbus A350-900,325,279,712948.91,747600.89
100200,BLR-SYD,BLR,SYD,2026-05-06,710,Boeing 777-300ER,396,355,2468950.84,1922111.79
100201,BLR-PNQ,BLR,PNQ,2025-11-03,73,Airbus A321neo,220,220,131816.72,137562.34
100202,CCU-LKO,CCU,LKO,2025-09-28,101,Airbus A320,180,138,143707.52,125022.04
100203,DEL-MAA,DEL,MAA,2025-04-08,147,Boeing 737-800,189,141,249984.95,203525.35
100204,HYD-COK,HYD,COK,2026-03-04,87,ATR 72-600,72,63,76191.29,68070.29
100205,BLR-PNQ,BLR,PNQ,2026-06-19,74,Boeing 737-800,189,189,131082.12,117531.92
100206,DEL-BKK,DEL,BKK,2025-02-06,244,Boeing 787-8,242,176,465161.51,406647.89
100207,BLR-DOH,BLR,DOH,2025-08-13,258,Airbus A321neo,220,150,434883.05,384663.02
100208,DEL-MAA,DEL,MAA,2025-07-19,162,Airbus A321neo,220,134,270614.41,238808.59
100209,BLR-SIN,BLR,SIN,2024-09-26,249,Airbus A321neo,220,173,315721.5,369372.23
100210,DEL-MAA,DEL,MAA,2026-01-21,165,Boeing 737-800,189,167,214317.43,183821.64
100211,MAA-BKK,MAA,BKK,2025-08-25,195,Boeing 737-800,189,159,373618.16,264463.19
100212,DEL-DOH,DEL,DOH,2024-08-22,223,Boeing 737-800,189,167,270785.15,331047.91
100213,BLR-SYD,BLR,SYD,2025-02-03,702,Airbus A350-900,325,225,1911141.04,1455862.65
100214,HYD-NAG,HYD,NAG,2026-01-21,59,Airbus A321neo,220,181,104439.27,105700.02
100215,BOM-HKG,BOM,HKG,2026-01-26,345,Airbus A350-900,325,325,1033968.58,883519.28
100216,MAA-JFK,MAA,JFK,2024-07-27,998,Airbus A350-900,325,229,1998043.13,2298558.53
100217,DEL-BKK,DEL,BKK,2025-04-06,231,Boeing 737-800,189,189,374505.87,352665.22
100218,AMD-NAG,AMD,NAG,2024-11-24,69,Airbus A320,180,162,116813.93,119580.75
100219,HYD-IXC,HYD,IXC,2024-08-01,143,Airbus A320,180,119,191482.41,163502.61
100220,CCU-NAG,CCU,NAG,2024-12-09,101,Boeing 737-800,189,189,114077.75,139791.67
100221,BLR-SIN,BLR,SIN,2024-09-25,261,Boeing 737-800,189,129,418165.74,388892.52
100222,BOM-BLR,BOM,BLR,2024-09-22,80,ATR 72-600,72,55,77150.53,66894.92
100223,DEL-DOH,DEL,DOH,2025-04-06,213,Airbus A321neo,220,165,259834.08,318985.99
100224,DEL-NAG,DEL,NAG,2026-05-26,83,Airbus A320,180,142,147211.78,132517.03
100225,HYD-PNQ,HYD,PNQ,2025-08-09,56,ATR 72-600,72,58,78297.36,60814.48
100226,MAA-AMD,MAA,AMD,2024-11-18,141,Airbus A320,180,180,216503.64,172994.1
100227,AMD-NAG,AMD,NAG,2025-09-14,82,Airbus A320,180,122,100668.12,114438.46
100228,MAA-PNQ,MAA,PNQ,2026-05-16,97,ATR 72-600,72,72,94583.54,72642.88
100229,MAA-AMD,MAA,AMD,2024-07-20,119,Boeing 787-8,242,176,273308.62,197836.79
100230,MAA-AMD,MAA,AMD,2025-08-19,128,Airbus A321neo,220,161,207041.78,194145.89
100231,CCU-LKO,CCU,LKO,2025-05-29,84,Airbus A320,180,180,123717.7,126675.69
100232,MAA-BKK,MAA,BKK,2025-07-06,196,Airbus A321neo,220,121,383014.78,279449.32
100233,BLR-BKK,BLR,BKK,2025-12-19,212,Airbus A320,180,162,323949.13,261169.58
100234,BLR-DOH,BLR,DOH,2024-12-20,242,Boeing 737-800,189,160,372203.77,314935.55
100235,DEL-SIN,DEL,SIN,2025-06-23,321,Airbus A350-900,325,236,844098.25,753766.07
100236,MAA-BKK,MAA,BKK,2024-10-14,182,Boeing 737-800,189,139,292070.19,253127.13
100237,PNQ-LKO,PNQ,LKO,2026-05-03,121,Boeing 737-800,189,148,157302.85,145156.67
100238,MAA-BKK,MAA,BKK,2026-01-29,190,Boeing 737-800,189,104,381174.54,286695.96
100239,BLR-COK,BLR,COK,2026-04-12,60,Airbus A321neo,220,209,121155.22,105525.54
100240,AMD-NAG,AMD,NAG,2025-09-24,77,Airbus A321neo,220,178,111228.91,122585.51
100241,BLR-COK,BLR,COK,2024-08-27,53,Airbus A320,180,125,102748.18,94660.51
100242,MAA-AMD,MAA,AMD,2025-07-13,119,Airbus A321neo,220,186,235463.23,198026.27
100243,MAA-AMD,MAA,AMD,2026-03-22,139,Boeing 787-8,242,242,280855.99,202528.84
100244,HYD-PAT,HYD,PAT,2024-08-12,126,Boeing 737-800,189,169,161921.58,153719.55
100245,MAA-JFK,MAA,JFK,2025-10-31,990,Airbus A350-900,325,231,2370787.72,2237283.37
100246,MAA-BKK,MAA,BKK,2025-06-17,199,Airbus A321neo,220,179,262888.35,336412.16
100247,DEL-MAA,DEL,MAA,2026-06-25,146,Boeing 737-800,189,137,220073.8,197011.67
100248,BLR-COK,BLR,COK,2025-07-17,50,Boeing 737-800,189,113,127193.25,100019.61
100249,HYD-PAT,HYD,PAT,2024-08-23,119,Boeing 737-800,189,122,193402.08,161507.03
100250,DEL-SIN,DEL,SIN,2026-05-26,319,Boeing 787-8,242,242,518747.32,539104.39
100251,AMD-PAT,AMD,PAT,2026-03-10,136,Boeing 787-8,242,184,224669.01,203697.24
100252,AMD-NAG,AMD,NAG,2025-06-24,73,Boeing 737-800,189,134,113308.11,118520.01
100253,DEL-BKK,DEL,BKK,2026-06-26,233,Boeing 737-800,189,173,496688.43,369707.81
100254,AMD-NAG,AMD,NAG,2024-11-08,89,Boeing 737-800,189,151,138731.84,123494.5
100255,MAA-JFK,MAA,JFK,2025-12-22,999,Boeing 777-300ER,396,258,2546947.2,2414672.98
100256,BLR-SIN,BLR,SIN,2025-05-13,247,Airbus A321neo,220,202,465682.75,377283.98
100257,PNQ-NAG,PNQ,NAG,2025-02-17,75,Airbus A321neo,220,184,177694.58,128650.57
100258,BOM-BLR,BOM,BLR,2025-12-02,99,Airbus A320,180,158,155927.71,132600.37
100259,MAA-JFK,MAA,JFK,2025-06-10,983,Boeing 777-300ER,396,281,3886940.56,2957799.44
100260,BLR-SYD,BLR,SYD,2025-01-02,692,Airbus A350-900,325,277,2014424.56,1723275.63
100261,BOM-HKG,BOM,HKG,2025-09-22,329,Boeing 777-300ER,396,335,1168612.2,843405.65
100262,BOM-LKO,BOM,LKO,2026-03-18,128,Boeing 737-800,189,97,183821.5,151854.72
100263,BOM-HKG,BOM,HKG,2025-05-13,338,Airbus A350-900,325,279,1209635.72,881903.78
100264,BOM-HKG,BOM,HKG,2026-05-26,330,Boeing 777-300ER,396,342,1488300.54,1042104.39
100265,MAA-BKK,MAA,BKK,2025-07-27,186,Airbus A321neo,220,154,264010.86,305870.02
100266,CCU-LKO,CCU,LKO,2026-03-12,88,Airbus A320,180,163,131397.64,126113.04
100267,AMD-PAT,AMD,PAT,2026-01-19,134,Boeing 737-800,189,128,204532.89,175980.5
100268,BLR-SIN,BLR,SIN,2024-09-24,250,Airbus A321neo,220,165,581592.57,430268.51
100269,AMD-NAG,AMD,NAG,2025-09-21,73,Airbus A321neo,220,195,109382.72,122962.44
100270,MAA-DOH,MAA,DOH,2024-07-28,276,Boeing 787-8,242,163,561732.27,443737.71
100271,HYD-IXC,HYD,IXC,2024-09-22,137,Airbus A321neo,220,176,240630.35,194111.34
